priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,5963000,3744000,3754000,-2209000,-37000,10000
stateSupported,7720000,4797000,4836000,-2884000,-37000,39000
longDistance,2522000,1973000,1985000,-537000,-21000,13000
totalRidership,16204000,10514000,10576000,-5629000,-35000,62000
rasm,17500,14290,15870,-2000,-9000,1570
casm,24030,27930,27440,3000,14000,490
costRecoveryRatio,72800,51200,57800,,,6600
customerSatisfactionIndex,81600,81800,81600,,,-200
seatMiles,9075200,7232900,7207100,-1868000,-21000,-25800
passengerMiles,3288200,2485100,2509600,-779000,-24000,24600
trainMiles,28900,22300,22300,-7000,-23000,-100
