operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,59700000,190100000,-130500000,455600,337800000,92700000,,,27000000
regional,130600000,309700000,-179200000,1965900,1090400000,318800000,,,30000000
necSpecialTrainsAdjustments,6400000,8100000,-1800000,1200,4600000,200000,,,0
nec,196600000,508000000,-311400000,2422700,1432800000,411700000,,,29000000
ethanAllenExpress,800000,600000,200000,0,0,0,,,0
vermonter,100000,100000,0,100,800000,0,,,0
mapleLeaf,19500000,19900000,-400000,149900,113800000,42800000,,,37000000
theDowneaster,11300000,11700000,-400000,97200,99300000,8199999.999999999,,,8000000
newHavenSpringfield,0,15600000,20400000,-4800,119100000,48800000,7.3,15,92300000
keystoneService,30700000,47500000,-16800000,238800,162600000,21700000,,,13000000
empireService,37500000,48100000,-10500000,369100,208300000,43200000,,,21000000
chicagoStLouis,16700000,20600000,-3900000,155600,96100000,28500000,,,30000000
hiawathas,12000000,14100000,-2100000,120000,38200000,9700000,,,26000000
wolverines,11500000,13500000,-2000000,80500,57700000,18500000,,,32000000
illini,10100000,5300000,4800000,93000,71800000,14700000,,,21000000
illinoisZephyr,7200000,7800000,-600000,45900,31700000,7700000,,,24000000
heartlandFlyer,4900000,6200000,-1300000,26700,17300000,4800000,,,28000000
pacificSurfliner,55400000,67800000,-12400000,481200,318400000,45900000,,,14000000
cascades,16000000,21600000,-5600000,84100,41300000,13100000,,,32000000
capitols,28700000,33299999.999999996,-4700000,213500,132900000,15000000,,,11000000
sanJoaquins,42000000,49500000,-7500000,285800,289600000,40900000,,,14000000
adirondack,1600000,700000,1000000,0,0,0,,,0
blueWater,11300000,13400000,-2100000,57900,60800000,10700000,,,17000000
washingtonLynchburg,8600000,8400000,100000,69400,53200000,17000000,,,32000000
washingtonNewportNews,0,8000000,15200000,-7200,120100000,72100000,27.7,33,84200000
washingtonNorfolk,0,13500000,12200000,1200,84500000,82000000,20.4,23,84200000
washingtonRichmond,0,8199999.999999999,100000,8100,100000,0,0,0,84200000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,7600000,7800000,-200000,45100,47300000,8900000,,,19000000
pennsylvanian,11900000,13000000,-1200000,80400,57600000,18200000,,,32000000
pereMarquette,5300000,6200000,-900000,29500,20600000,4500000,,,22000000
carolinian,14700000,16800000,-2100000,125200,87900000,37900000,,,43000000
piedmont,4600000,5100000,-500000,57300,28500000,6400000,,,22000000
nonNecSpecialTrainsAdjustments,100000,8900000,-8900000,0,2600000,0,,,0
stateSupported,415100000,495800000,-80700000,3229900,2241100000,473800000,,,21000000
silverStar,13800000,38600000,-24900000,123800,149300000,59300000,,,40000000
cardinal,4300000,18700000,-14400000,47000,54800000,19100000,,,34000000
silverMeteor,16200000,42700000,-26500000,129000,177000000,67800000,,,38000000
empireBuilder,18300000,57600000,-39300000,123900,228800000,87200000,,,38000000
capitolLimited,5400000,18000000,-12700000,49800,43300000,21100000,,,49000000
californiaZephyr,18300000,56600000,-38200000,106400,186500000,80400000,,,43000000
southwestChief,15400000,52900000,-37500000,78600,180200000,74200000,,,41000000
cityOfNewOrleans,5900000,19800000,-13800000,60100,63700000,25100000,,,38000000
texasEagle,9000000,25400000,-16399999.999999998,88600,76300000,47200000,,,62000000
sunsetLimited,5400000,35800000,-30300000,39200,113700000,27800000,,,25000000
coastStarlight,14700000,47100000,-32400000,119200,138900000,56200000,,,41000000
lakeShoreLimited,9400000,30700000,-21300000,106500,105000000,44000000,,,42000000
palmetto,6200000,17000000,-10800000,71400,54700000,19600000,,,36000000
crescent,9000000,30500000,-21500000,67300,79600000,32299999.999999996,,,41000000
autoTrain,60400000,65099999.99999999,-4700000,138600,234700000,118500000,,,51000000
longDistanceAdjustments,0,1300000,-1300000,0,0,0,,,0
longDistance,211900000,557800000,-345900000,1349600,1886400000,779800000,,,41000000
ancillary,250700000,245600000,5000000,,,,,,
infrastructure,187800000,291000000,-103200000,,,,,,
amtrak,1262100000,2098300000.0000002,-836200000,7002100,5560200000,1665300000,,,30000000
